Number of active threads,Average BookFlight,Average Cancel Booking,Average List Bookings,Average Login,Average QueryFlight,Average Update Customer,Average View Profile Information,Average logout,BookFlight,Cancel Booking,List Bookings,Login,QueryFlight,Update Customer,View Profile Information,logout
1,,,,,,,,,176.31649416141735,239.76429219773146,204.29178364207255,229.91091165066868,187.94456081778034,182.91910442641117,226.8094724202843,253.2204868707455
2,,,,,,,,,196.57614734882932,277.2679805574542,287.1047253400194,322.05387205387206,321.7532353444047,180.4177109440267,280.63492063492066,303.5565741448095
3,,,,,,,,,355.7388444888445,500.0193734713856,383.17435252919125,460.0840336134455,497.3606081418583,393.75,587.6623376623377,487.90671693897497
4,,,,,,,,,350.8767441783327,468.85329569511595,451.4330823928347,532.275914968223,572.7355638108194,417.1604938271605,421.0624766180321,537.9682869246437
5,,,,,,,,,375.629528626882,378.0122997692505,400.15646373654135,413.2802841686332,517.7762658316542,374.4274247275545,547.3646723646723,445.4823963126296
6,,,,,,,,,426.3468693615753,551.5839704486873,480.67119459048314,541.9822185487147,566.8253118963116,431.18646059822527,501.51915820365014,572.3561623561624
7,,,,,,,,,462.58182841476486,509.636801032682,496.37744454909364,482.77594746918805,558.2813318692926,492.775641025641,539.3300594881622,529.3593000906342
8,,,,,,,,,427.05693096332334,490.16593036974893,452.38521029381184,487.26227125818394,500.28811503522877,438.7373526724903,505.26395173454,505.0964490215415
9,,,,,,,,,445.99295852302583,476.4645826698624,460.48262413338784,455.3948932409332,502.30617772023004,479.13413722052167,484.91824990865905,455.893250476808
10,,,,,,,,,337.98069967871277,387.98523062800433,382.50731544722777,393.41605532440695,384.42472072925204,344.9005515181986,343.21717128853857,384.96186900423425
11,,,,,,,,,444.57367955904556,462.03029918286944,475.85744456612565,487.12512453625357,483.8981907667081,471.4405254243964,455.37826516087387,510.6097671776945
12,,,,,,,,,391.52770786571574,422.97817101917116,417.0034562627566,419.36636161799424,442.53835021161643,388.0482133965106,423.2910299576966,454.0208927674595
13,,,,,,,,,415.60469753328647,435.0210091156688,423.57839018645865,408.46768842067706,433.12622693611604,423.6085244908774,425.1911375661375,433.2434161362413
14,,,,,,,,,424.62842726806025,470.1506466418093,435.3883715332803,473.28898581502096,491.9337743774855,465.81936785583156,473.75298186655954,462.0111760868332
15,,,,,,,,,470.48880892742704,500.43469711973927,516.4437189883894,527.7111125891951,525.74224799378,475.05406683138887,504.7609082508972,560.2197300659803
16,,,,,,,,,432.97293426268783,491.2644191286565,475.2788025721961,480.49818064362637,469.3422869620662,442.90590345504336,455.382582198468,469.88661214436144
17,,,,,,,,,452.90410407158595,449.0301791268777,443.1680600122385,434.74588408429133,455.5613454437644,440.1715012220623,423.43119380619385,460.27993758834947
18,,,,,,,,,428.59697491669664,441.6208619130184,428.60943382350325,448.3498019427865,450.48328321405256,425.11604182058727,430.88225500735575,460.46767424524427
19,,,,,,,,,356.31439411683874,335.5418415302286,338.5137678899489,342.01964590310996,344.49864575150656,317.1192392534928,316.10388386842146,348.85462940958786
20,,,,,,,,,390.13268669330307,435.5646382501466,422.53742069210193,440.52587167866716,447.3787362676769,435.545803041112,438.57270315591256,463.499877125941
21,,,,,,,,,429.99970545787056,455.94660738933936,417.1193970169303,427.26367962040445,454.2245170668339,444.561199641284,452.1402895503323,427.47991347984333
22,409.958816080943,,,,,,,,493.6713467299307,493.0514564842727,493.29693181160616,490.79959381804497,506.37397453079325,484.8455271393372,496.7157050960046,501.2630240909956
23,,,440.91542960620086,451.62262605514655,455.8229810462177,427.6339232501473,449.0559320760546,465.1952621680871,491.0018014120473,501.12403561404903,482.1787953575009,492.5523723689724,507.5927923555193,473.5922312308179,511.3937931332814,517.5381824557086
24,,,,,,,,,490.54535632336035,510.4915622893358,521.186528341435,510.65652537817317,529.6726812423796,488.02372032144376,497.66806432231675,523.727877260306
25,,,,,,,,,484.5860065578522,498.3456732296411,490.5884213792025,512.1559329690127,517.5705172820834,504.9739907483579,496.8570725323113,507.88794106032066
26,,,,,,,,,469.7248100328593,484.5055374198458,486.4143852329811,483.5078938597364,501.28455575222347,478.4152158140987,480.1825362075959,497.8703639341573
27,,491.50317717997285,,,,,,,451.120819389432,479.1804402986129,487.9749506855359,478.5305820055913,492.488248831011,454.407206936305,481.5126980619602,482.6633143250585
28,,,,,,,,,480.0726255971624,501.90123805380847,489.9438521264593,497.9935724655414,505.16820961364095,486.00510390338275,483.9340064200609,510.5114956046205
29,,,,,,,,,489.8011418995353,520.9028000669583,512.4885177468385,529.3409285579226,531.4091451238162,532.2697936769474,512.4009818199485,514.5047849480898
30,,,,,,,,,451.2514385099124,450.7276884990633,450.08293073035827,466.82029167454897,474.18455777394274,468.7772009446008,460.2280795440369,469.3041608473294
31,,,,,,,,,506.3491627633364,531.5845373248844,530.1980515515476,524.7929488808683,553.2748868194376,523.6238827293353,548.8463747932371,551.087358547694
32,,,,,,,,,506.85472522064146,533.4362200609946,539.717707682702,537.7757313701863,561.7198657567886,512.3823400074535,538.7452205972623,536.2254941397092
33,,,,,,,,,494.2171601745698,506.2826358197616,513.4862045477216,514.9117674993335,525.8073176139443,476.32790932142854,499.1992972394358,515.5264502280077
34,,,,,,,,,481.33434338134583,508.30007072319796,512.3829750505788,496.1704753607066,519.0468237294252,494.31932701024766,483.28743658279876,513.2364834482879
35,,,,,,,,,516.0885650654456,546.5999033669258,542.3039628003279,552.8075301543614,566.0051827580057,504.1122523291402,537.1599006925289,552.6277167275797
36,,,,,,,,,503.6671470970137,541.3142306983547,526.0559059813661,536.177926940473,560.9607241246628,517.5820291664807,536.1041558164699,555.5960444347842
37,,,,,,,,,456.26130253884196,469.2280316294237,456.94333099361944,449.83276249127465,493.0973266794229,450.93634540642825,440.5900787808683,504.57681874514685
38,,,,,,,,,467.84649826235415,475.5945061105006,486.06224838598104,494.10312270617396,503.7849873372398,468.5759469392251,425.3776064517119,500.1955148974483
39,,,,,,,,,510.1149438833609,524.4533951450403,520.0166761360181,532.8935333978378,548.1218260461131,515.3406250570631,500.00426802300575,535.7263706065241
40,,,,,,,,,533.7244556143612,551.5974711384632,551.9037089195368,552.1287385851457,564.6286211855298,542.5168527879299,552.2975933322971,560.2186391645266
