Number of active threads,Average BookFlight,Average Cancel Booking,Average List Bookings,Average Login,Average QueryFlight,Average Update Customer,Average View Profile Information,Average logout,BookFlight,Cancel Booking,List Bookings,Login,QueryFlight,Update Customer,View Profile Information,logout
1,,,,,,,,,185.23554717714762,250.1510933210794,211.90541580198607,238.19519695523093,200.16060703672585,192.71776721678762,233.9879957089139,262.6570332284267
2,,,,,,,,,268.00961344778904,343.9674817141922,300.68207607339986,367.88075607214097,403.521939790947,306.107291401409,336.61828367710734,393.67217540294473
3,236.5596863946313,360.26687600324254,302.0081518690796,356.60595749379746,451.2583134787939,256.28307911283537,348.5076436052772,397.0235565436489,279.42911925649753,369.2921362655638,348.9181116682745,412.4555824519797,505.54387837022375,278.1535091743662,369.8016993148839,452.0476306073663
4,,,,,,,,,264.5786206098412,393.8739846486722,361.33423328887307,433.3011019525761,640.0783267682275,290.9040556230566,433.4713541876321,488.74227894075796
